"","keys","accuracy","rt","Fimg","Simg","subID","trialNum","run"
"2",1,0,1781,19,7,"sub01",1,1
"3",0,1,971,13,21,"sub01",2,1
"4",1,0,758,20,17,"sub01",3,1
"5",1,0,573,18,10,"sub01",4,1
"6",0,1,418,17,6,"sub01",5,1
"7",1,0,389,1,17,"sub01",6,1
"8",0,1,389,1,6,"sub01",7,1
"9",0,1,460,20,5,"sub01",8,1
"10",1,0,539,17,14,"sub01",9,1
"11",1,0,432,14,12,"sub01",10,1
"12",0,1,486,17,12,"sub01",11,1
"13",0,1,421,6,8,"sub01",12,1
"14",0,1,382,19,14,"sub01",13,1
"15",0,1,435,4,10,"sub01",14,1
"16",1,0,588,15,19,"sub01",15,1
"17",0,1,432,1,14,"sub01",16,1
"18",0,1,541,20,11,"sub01",17,1
"19",0,1,400,13,11,"sub01",18,1
"20",0,1,457,20,2,"sub01",19,1
"21",0,1,362,3,5,"sub01",20,1
"22",0,1,382,13,12,"sub01",21,1
"23",0,1,389,9,7,"sub01",22,1
"24",0,1,378,3,17,"sub01",23,1
"25",0,1,391,5,11,"sub01",24,1
"26",0,1,281,10,16,"sub01",25,1
"27",0,1,322,17,5,"sub01",26,1
"28",0,1,307,15,21,"sub01",27,1
"29",0,1,379,6,21,"sub01",28,1
"30",0,1,415,11,12,"sub01",29,1
"31",0,1,314,9,18,"sub01",30,1
"32",0,1,338,6,4,"sub01",31,1
"33",0,1,467,3,7,"sub01",32,1
"34",0,0,505,12,12,"sub01",33,1
"35",1,1,392,1,1,"sub01",34,1
"36",0,1,358,7,18,"sub01",35,1
"37",0,1,398,9,4,"sub01",36,1
"38",0,1,446,7,21,"sub01",37,1
"39",0,1,561,7,17,"sub01",38,1
"40",0,1,393,3,16,"sub01",39,1
"41",1,1,342,3,3,"sub01",40,1
"42",0,1,397,3,9,"sub01",41,1
"43",1,0,282,10,14,"sub01",42,1
"44",1,0,404,20,16,"sub01",43,1
"45",1,0,273,1,16,"sub01",44,1
"46",0,1,267,11,8,"sub01",45,1
"47",0,1,366,1,19,"sub01",46,1
"48",0,1,291,2,7,"sub01",47,1
"49",0,1,300,2,4,"sub01",48,1
"50",0,1,390,3,11,"sub01",49,1
"51",0,1,351,12,9,"sub01",50,1
"52",0,1,327,4,7,"sub01",51,1
"53",0,1,494,6,18,"sub01",52,1
"54",0,1,461,19,13,"sub01",53,1
"55",0,1,330,6,9,"sub01",54,1
"56",0,1,318,3,12,"sub01",55,1
"57",0,1,906,1,12,"sub01",56,1
"58",0,1,304,11,15,"sub01",57,1
"59",0,1,482,17,13,"sub01",58,1
"60",0,1,342,5,10,"sub01",59,1
"61",0,1,282,18,20,"sub01",60,1
"62",1,0,334,2,17,"sub01",61,1
"63",0,1,334,18,2,"sub01",62,1
"64",0,1,245,3,13,"sub01",63,1
"65",0,1,1038,20,7,"sub01",64,1
"66",1,1,2480,9,9,"sub01",65,1
"67",1,0,1003,5,2,"sub01",66,1
"68",0,1,290,11,1,"sub01",67,1
"69",0,1,453,14,21,"sub01",68,1
"70",1,0,369,9,1,"sub01",69,1
"71",0,1,382,15,14,"sub01",70,1
"72",0,1,548,12,10,"sub01",71,1
"73",0,1,314,5,19,"sub01",72,1
"74",0,1,299,8,15,"sub01",73,1
"75",1,1,289,11,11,"sub01",74,1
"76",0,1,445,19,8,"sub01",75,1
"77",0,1,372,16,6,"sub01",76,1
"78",0,1,385,13,18,"sub01",77,1
"210",1,0,869,17,4,"sub04",1,1
"310",0,1,424,10,21,"sub04",2,1
"410",0,1,469,15,2,"sub04",3,1
"510",1,0,285,18,19,"sub04",4,1
"610",1,0,500,9,12,"sub04",5,1
"79",0,1,397,19,4,"sub04",6,1
"81",0,1,621,16,21,"sub04",7,1
"91",1,0,298,2,18,"sub04",8,1
"101",1,0,408,18,12,"sub04",9,1
"111",1,0,344,10,14,"sub04",10,1
"121",0,1,285,14,4,"sub04",11,1
"131",1,1,324,2,2,"sub04",12,1
"141",1,0,319,10,15,"sub04",13,1
"151",1,0,309,1,3,"sub04",14,1
"161",0,1,397,20,14,"sub04",15,1
"171",1,0,260,15,1,"sub04",16,1
"181",1,0,339,18,10,"sub04",17,1
"191",1,0,503,18,16,"sub04",18,1
"201",1,0,315,15,18,"sub04",19,1
"211",1,0,391,2,10,"sub04",20,1
"221",0,1,323,6,21,"sub04",21,1
"231",0,1,535,7,21,"sub04",22,1
"241",1,0,339,20,3,"sub04",23,1
"251",0,1,252,12,4,"sub04",24,1
"261",0,1,396,20,11,"sub04",25,1
"271",1,0,280,10,13,"sub04",26,1
"281",0,1,402,18,11,"sub04",27,1
"291",1,0,256,19,16,"sub04",28,1
"301",0,1,269,19,17,"sub04",29,1
"311",0,1,378,13,16,"sub04",30,1
"321",0,1,360,20,6,"sub04",31,1
"331",0,1,244,21,17,"sub04",32,1
"341",0,1,275,21,14,"sub04",33,1
"351",1,0,274,12,8,"sub04",34,1
"361",1,0,359,8,10,"sub04",35,1
"371",1,0,461,14,1,"sub04",36,1
"381",0,1,268,10,12,"sub04",37,1
"391",0,1,278,9,10,"sub04",38,1
"401",1,0,211,17,6,"sub04",39,1
"411",0,1,272,6,15,"sub04",40,1
"421",1,1,297,15,15,"sub04",41,1
"431",0,1,284,21,8,"sub04",42,1
"441",1,1,321,19,19,"sub04",43,1
"451",0,1,370,1,4,"sub04",44,1
"461",0,1,327,16,11,"sub04",45,1
"471",0,1,367,5,17,"sub04",46,1
"481",0,1,252,15,17,"sub04",47,1
"491",0,1,350,4,8,"sub04",48,1
"501",1,1,206,10,10,"sub04",49,1
"511",0,0,259,6,6,"sub04",50,1
"521",0,1,318,19,3,"sub04",51,1
"531",0,1,334,6,1,"sub04",52,1
"541",0,1,356,3,11,"sub04",53,1
"551",1,0,429,17,8,"sub04",54,1
"561",0,1,287,3,10,"sub04",55,1
"571",1,0,263,11,9,"sub04",56,1
"581",0,1,268,21,15,"sub04",57,1
"591",0,1,301,8,15,"sub04",58,1
"601",0,1,331,11,5,"sub04",59,1
"611",0,1,1022,15,13,"sub04",60,1
"621",0,1,307,12,21,"sub04",61,1
"631",0,1,307,17,7,"sub04",62,1
"641",0,1,323,11,17,"sub04",63,1
"651",1,0,305,18,8,"sub04",64,1
"661",1,0,83,9,4,"sub04",65,1
"671",1,0,289,8,9,"sub04",66,1
"681",0,1,263,5,15,"sub04",67,1
"691",1,1,279,18,18,"sub04",68,1
"701",1,1,227,4,4,"sub04",69,1
"711",1,0,325,8,16,"sub04",70,1
"721",1,1,290,14,14,"sub04",71,1
"731",0,1,273,7,11,"sub04",72,1
"741",0,1,346,1,9,"sub04",73,1
"751",1,0,444,14,6,"sub04",74,1
"761",0,1,727,20,7,"sub04",75,1
"771",0,1,401,12,3,"sub04",76,1
"781",0,1,375,19,7,"sub04",77,1
"212",0,1,1127,19,7,"sub03",1,1
"312",1,0,482,2,6,"sub03",2,1
"412",0,1,250,2,5,"sub03",3,1
"512",0,1,356,4,16,"sub03",4,1
"612",1,0,356,4,3,"sub03",5,1
"710",0,1,630,12,2,"sub03",6,1
"82",0,1,284,3,5,"sub03",7,1
"92",0,1,304,14,15,"sub03",8,1
"102",0,0,256,7,7,"sub03",9,1
"112",0,1,96,15,1,"sub03",10,1
"122",1,0,227,16,9,"sub03",11,1
"132",1,0,108,1,2,"sub03",12,1
"142",0,1,48,17,18,"sub03",13,1
"152",0,1,282,21,4,"sub03",14,1
"162",0,1,330,3,18,"sub03",15,1
"172",0,1,274,21,6,"sub03",16,1
"182",0,1,232,18,5,"sub03",17,1
"192",0,1,295,11,4,"sub03",18,1
"202",0,1,233,17,6,"sub03",19,1
"213",0,1,177,19,12,"sub03",20,1
"222",0,1,249,4,7,"sub03",21,1
"232",0,1,175,15,13,"sub03",22,1
"242",0,1,214,15,20,"sub03",23,1
"252",0,1,249,9,1,"sub03",24,1
"262",0,1,97,4,9,"sub03",25,1
"272",0,1,248,9,18,"sub03",26,1
"282",0,1,214,17,19,"sub03",27,1
"292",0,1,242,18,15,"sub03",28,1
"302",0,1,194,15,2,"sub03",29,1
"313",0,1,215,8,14,"sub03",30,1
"322",0,0,147,10,10,"sub03",31,1
"332",0,1,222,10,3,"sub03",32,1
"342",0,1,142,8,12,"sub03",33,1
"352",0,0,260,15,15,"sub03",34,1
"362",0,1,259,6,1,"sub03",35,1
"372",0,1,178,8,1,"sub03",36,1
"382",0,1,261,15,12,"sub03",37,1
"392",0,1,234,9,14,"sub03",38,1
"402",0,1,291,9,12,"sub03",39,1
"413",0,1,189,11,1,"sub03",40,1
"422",0,1,244,17,5,"sub03",41,1
"432",0,1,443,1,7,"sub03",42,1
"442",0,1,311,17,11,"sub03",43,1
"452",0,0,155,1,1,"sub03",44,1
"462",0,1,132,16,5,"sub03",45,1
"472",0,1,193,16,12,"sub03",46,1
"482",0,1,274,21,3,"sub03",47,1
"492",1,0,32,21,19,"sub03",48,1
"502",0,1,180,1,17,"sub03",49,1
"513",0,1,605,10,15,"sub03",50,1
"522",0,1,230,4,2,"sub03",51,1
"532",0,1,248,6,15,"sub03",52,1
"542",0,1,250,20,2,"sub03",53,1
"552",0,1,111,5,13,"sub03",54,1
"562",0,1,191,5,1,"sub03",55,1
"572",0,1,126,16,21,"sub03",56,1
"582",0,1,256,1,12,"sub03",57,1
"592",0,1,262,20,8,"sub03",58,1
"602",0,1,215,10,13,"sub03",59,1
"613",0,1,439,20,7,"sub03",60,1
"622",1,0,36,16,1,"sub03",61,1
"632",0,1,156,16,10,"sub03",62,1
"642",0,1,48,5,6,"sub03",63,1
"652",0,1,203,21,8,"sub03",64,1
"662",0,1,113,18,13,"sub03",65,1
"672",0,1,0,5,15,"sub03",66,1
"682",0,1,279,6,3,"sub03",67,1
"692",0,1,55,16,15,"sub03",68,1
"702",0,1,105,3,19,"sub03",69,1
"712",0,1,92,1,20,"sub03",70,1
"722",0,1,261,5,21,"sub03",71,1
"732",1,1,180,13,13,"sub03",72,1
"742",0,1,222,16,8,"sub03",73,1
"752",0,1,378,2,14,"sub03",74,1
"762",0,0,73,21,21,"sub03",75,1
"772",0,1,215,11,19,"sub03",76,1
"782",0,0,42,17,17,"sub03",77,1
"214",1,0,983,2,21,"sub02",1,1
"314",1,0,1161,14,10,"sub02",2,1
"414",1,0,950,14,1,"sub02",3,1
"514",0,1,1046,7,11,"sub02",4,1
"614",1,0,2068,18,20,"sub02",5,1
"713",0,1,459,15,21,"sub02",6,1
"83",0,1,373,11,20,"sub02",7,1
"93",0,1,353,15,11,"sub02",8,1
"103",0,1,426,12,20,"sub02",9,1
"113",1,0,378,3,12,"sub02",10,1
"123",0,1,352,1,4,"sub02",11,1
"133",0,1,298,2,12,"sub02",12,1
"143",0,1,410,17,4,"sub02",13,1
"153",0,1,1677,19,20,"sub02",14,1
"163",0,1,831,3,14,"sub02",15,1
"173",0,0,451,18,18,"sub02",16,1
"183",0,1,387,13,17,"sub02",17,1
"193",0,1,599,19,13,"sub02",18,1
"203",0,1,591,11,19,"sub02",19,1
"215",0,1,504,21,5,"sub02",20,1
"223",0,1,433,17,7,"sub02",21,1
"233",0,1,583,21,16,"sub02",22,1
"243",0,0,602,20,20,"sub02",23,1
"253",0,1,735,14,13,"sub02",24,1
"263",0,1,144,17,2,"sub02",25,1
"273",0,1,475,21,4,"sub02",26,1
"283",0,1,533,16,17,"sub02",27,1
"293",0,1,374,11,10,"sub02",28,1
"303",0,1,316,10,7,"sub02",29,1
"315",0,0,288,11,11,"sub02",30,1
"323",0,0,604,14,14,"sub02",31,1
"333",1,0,760,20,7,"sub02",32,1
"343",0,1,692,2,20,"sub02",33,1
"353",0,1,2328,1,19,"sub02",34,1
"363",0,1,698,4,2,"sub02",35,1
"373",0,1,603,4,14,"sub02",36,1
"383",1,0,500,12,13,"sub02",37,1
"393",0,1,436,13,20,"sub02",38,1
"403",0,1,684,2,8,"sub02",39,1
"415",0,1,591,7,6,"sub02",40,1
"423",0,1,659,17,10,"sub02",41,1
"433",1,0,559,19,2,"sub02",42,1
"443",-1,-1,0,9,8,"sub02",43,1
"453",0,1,376,15,3,"sub02",44,1
"463",0,1,668,6,10,"sub02",45,1
"473",0,1,685,17,5,"sub02",46,1
"483",0,1,1377,10,15,"sub02",47,1
"493",0,1,445,8,19,"sub02",48,1
"503",1,1,1364,4,4,"sub02",49,1
"515",1,0,575,14,18,"sub02",50,1
"523",0,1,574,12,5,"sub02",51,1
"533",1,0,345,1,16,"sub02",52,1
"543",0,1,674,21,9,"sub02",53,1
"553",0,1,362,15,18,"sub02",54,1
"563",0,1,753,19,7,"sub02",55,1
"573",0,1,406,10,12,"sub02",56,1
"583",0,1,807,9,13,"sub02",57,1
"593",0,1,839,18,12,"sub02",58,1
"603",0,1,342,15,4,"sub02",59,1
"615",0,1,385,17,15,"sub02",60,1
"623",0,1,389,1,8,"sub02",61,1
"633",0,1,734,4,3,"sub02",62,1
"643",0,1,734,1,15,"sub02",63,1
"653",0,1,507,6,19,"sub02",64,1
"663",0,1,530,9,17,"sub02",65,1
"673",0,1,362,21,8,"sub02",66,1
"683",0,1,315,16,4,"sub02",67,1
"693",0,1,636,15,16,"sub02",68,1
"703",0,1,370,7,12,"sub02",69,1
"714",0,0,554,8,8,"sub02",70,1
"723",1,0,496,6,16,"sub02",71,1
"733",0,1,560,8,18,"sub02",72,1
"743",0,1,121,20,3,"sub02",73,1
"753",0,1,275,1,21,"sub02",74,1
"763",1,0,118,9,1,"sub02",75,1
"773",0,1,19,19,16,"sub02",76,1
"783",0,1,551,18,13,"sub02",77,1
"216",0,0,515,2,2,"sub01",1,2
"316",0,1,403,16,9,"sub01",2,2
"416",1,1,576,8,8,"sub01",3,2
"516",0,1,344,4,21,"sub01",4,2
"616",0,1,470,13,1,"sub01",5,2
"715",0,1,314,17,21,"sub01",6,2
"84",0,1,562,20,15,"sub01",7,2
"94",0,1,354,10,11,"sub01",8,2
"104",0,1,629,14,6,"sub01",9,2
"114",1,0,314,10,9,"sub01",10,2
"124",0,1,674,6,5,"sub01",11,2
"134",1,1,312,18,18,"sub01",12,2
"144",0,1,363,18,4,"sub01",13,2
"154",0,0,519,7,7,"sub01",14,2
"164",0,1,496,4,20,"sub01",15,2
"174",0,1,387,14,3,"sub01",16,2
"184",0,1,451,6,2,"sub01",17,2
"194",0,0,299,5,5,"sub01",18,2
"204",1,1,355,17,17,"sub01",19,2
"217",0,1,320,15,5,"sub01",20,2
"224",0,1,304,15,10,"sub01",21,2
"234",1,1,733,15,15,"sub01",22,2
"244",0,1,316,20,9,"sub01",23,2
"254",0,1,772,12,5,"sub01",24,2
"264",1,0,342,16,19,"sub01",25,2
"274",1,0,352,5,18,"sub01",26,2
"284",0,1,293,17,15,"sub01",27,2
"294",0,1,386,7,14,"sub01",28,2
"304",0,1,377,20,10,"sub01",29,2
"317",1,0,317,16,17,"sub01",30,2
"324",0,1,906,19,6,"sub01",31,2
"334",0,1,428,7,16,"sub01",32,2
"344",1,0,307,19,20,"sub01",33,2
"354",0,1,509,5,7,"sub01",34,2
"364",0,1,392,12,16,"sub01",35,2
"374",1,1,284,20,20,"sub01",36,2
"384",0,1,856,19,21,"sub01",37,2
"394",0,1,314,21,3,"sub01",38,2
"404",0,1,300,20,12,"sub01",39,2
"417",0,1,328,12,21,"sub01",40,2
"424",0,1,1677,21,18,"sub01",41,2
"434",0,1,2094,18,14,"sub01",42,2
"444",0,1,2125,6,7,"sub01",43,2
"454",0,1,1907,8,1,"sub01",44,2
"464",0,1,2479,5,9,"sub01",45,2
"474",1,1,2492,21,21,"sub01",46,2
"484",0,1,2483,2,13,"sub01",47,2
"494",0,1,476,14,16,"sub01",48,2
"504",0,1,465,20,3,"sub01",49,2
"517",0,1,359,9,19,"sub01",50,2
"524",1,1,902,14,14,"sub01",51,2
"534",-1,-1,0,15,9,"sub01",52,2
"544",0,1,318,13,20,"sub01",53,2
"554",0,1,467,11,6,"sub01",54,2
"564",0,1,583,10,2,"sub01",55,2
"574",0,1,379,18,19,"sub01",56,2
"584",0,1,444,12,4,"sub01",57,2
"594",1,1,298,4,4,"sub01",58,2
"604",0,1,339,17,4,"sub01",59,2
"617",1,1,914,16,16,"sub01",60,2
"624",1,1,240,10,10,"sub01",61,2
"634",0,1,497,14,20,"sub01",62,2
"644",0,1,243,1,4,"sub01",63,2
"654",0,1,464,15,12,"sub01",64,2
"664",0,1,206,11,19,"sub01",65,2
"674",0,1,333,16,11,"sub01",66,2
"684",0,1,514,12,2,"sub01",67,2
"694",0,1,353,14,11,"sub01",68,2
"704",0,1,2486,16,2,"sub01",69,2
"716",0,1,2496,21,2,"sub01",70,2
"724",0,1,516,12,7,"sub01",71,2
"734",0,1,2293,4,8,"sub01",72,2
"744",0,1,417,8,12,"sub01",73,2
"754",0,1,392,16,4,"sub01",74,2
"764",0,1,508,8,10,"sub01",75,2
"774",1,1,293,6,6,"sub01",76,2
"784",0,1,751,8,5,"sub01",77,2
"218",1,1,298,12,12,"sub04",1,2
"318",0,1,505,19,12,"sub04",2,2
"418",0,1,274,9,3,"sub04",3,2
"518",0,1,297,7,16,"sub04",4,2
"618",0,1,259,18,21,"sub04",5,2
"717",0,1,280,7,3,"sub04",6,2
"85",1,1,262,5,5,"sub04",7,2
"95",0,1,235,11,2,"sub04",8,2
"105",0,1,283,16,4,"sub04",9,2
"115",0,1,278,14,13,"sub04",10,2
"125",0,1,419,5,6,"sub04",11,2
"135",0,1,271,14,16,"sub04",12,2
"145",0,0,261,1,1,"sub04",13,2
"155",0,1,404,3,21,"sub04",14,2
"165",0,1,341,16,6,"sub04",15,2
"175",1,0,345,13,20,"sub04",16,2
"185",0,1,536,10,16,"sub04",17,2
"195",0,1,431,8,6,"sub04",18,2
"205",0,1,279,19,15,"sub04",19,2
"219",0,1,354,21,5,"sub04",20,2
"225",0,1,443,20,8,"sub04",21,2
"235",0,1,305,10,5,"sub04",22,2
"245",0,1,341,13,1,"sub04",23,2
"255",0,1,413,11,19,"sub04",24,2
"265",0,1,315,20,9,"sub04",25,2
"275",0,1,409,7,8,"sub04",26,2
"285",1,1,422,9,9,"sub04",27,2
"295",0,1,327,18,7,"sub04",28,2
"305",0,1,493,19,14,"sub04",29,2
"319",0,1,610,4,11,"sub04",30,2
"325",1,0,266,4,7,"sub04",31,2
"335",0,1,342,2,6,"sub04",32,2
"345",0,1,323,9,7,"sub04",33,2
"355",0,1,323,19,1,"sub04",34,2
"365",0,1,642,2,9,"sub04",35,2
"375",0,1,389,6,3,"sub04",36,2
"385",0,1,374,14,2,"sub04",37,2
"395",0,1,419,9,6,"sub04",38,2
"405",0,1,292,18,3,"sub04",39,2
"419",1,0,590,11,12,"sub04",40,2
"425",0,1,363,2,20,"sub04",41,2
"435",1,0,348,4,5,"sub04",42,2
"445",0,1,297,8,1,"sub04",43,2
"455",0,1,232,20,12,"sub04",44,2
"465",1,0,276,13,12,"sub04",45,2
"475",0,1,293,6,12,"sub04",46,2
"485",0,1,309,9,17,"sub04",47,2
"495",1,0,438,15,16,"sub04",48,2
"505",0,1,345,19,9,"sub04",49,2
"519",1,0,279,7,6,"sub04",50,2
"525",0,1,272,8,2,"sub04",51,2
"535",1,1,244,16,16,"sub04",52,2
"545",0,1,399,15,14,"sub04",53,2
"555",1,0,374,17,18,"sub04",54,2
"565",1,0,308,1,2,"sub04",55,2
"575",0,1,297,5,1,"sub04",56,2
"585",0,1,376,17,3,"sub04",57,2
"595",1,0,240,16,1,"sub04",58,2
"605",0,1,289,16,5,"sub04",59,2
"619",0,1,531,8,5,"sub04",60,2
"625",0,1,354,12,5,"sub04",61,2
"635",1,0,352,9,16,"sub04",62,2
"645",0,1,339,12,7,"sub04",63,2
"655",0,1,453,21,2,"sub04",64,2
"665",0,1,476,15,4,"sub04",65,2
"675",0,1,1078,18,20,"sub04",66,2
"685",0,1,273,14,8,"sub04",67,2
"695",0,0,300,21,21,"sub04",68,2
"705",0,1,330,1,11,"sub04",69,2
"718",0,1,289,2,19,"sub04",70,2
"725",0,1,367,8,13,"sub04",71,2
"735",0,1,550,13,18,"sub04",72,2
"745",0,1,256,9,18,"sub04",73,2
"755",1,0,249,16,17,"sub04",74,2
"765",0,1,323,8,3,"sub04",75,2
"775",0,1,265,10,7,"sub04",76,2
"785",0,1,409,6,18,"sub04",77,2
"220",0,1,258,10,17,"sub03",1,2
"320",0,1,206,10,14,"sub03",2,2
"420",0,1,201,4,6,"sub03",3,2
"520",0,1,229,5,10,"sub03",4,2
"620",0,1,77,2,16,"sub03",5,2
"719",0,1,228,19,8,"sub03",6,2
"86",0,1,83,4,20,"sub03",7,2
"96",0,1,179,20,12,"sub03",8,2
